objectid,filename,title,creator,date,archival_date,description,subject,location,latitude,longitude,source,source_link,identifier,type,format,language,rights,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
prr01,prr01.jpg,Construction Camp showing Old Box Car Bodies used as Living Quarters,"Hallen, Ernest (Pht)
Brandl, Glen (Donor)",1910,,,Canal construction,unknown,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/PCMI009086/00001/images,,,,,This item is a work of the U.S. federal government and not protected by copyright pursuant to 17 U.S.C. §105.,image,/objects/prr01.jpg,/objects/small/prr01_sm.jpg,/objects/thumbs/prr01_th.jpg,,
prr02,prr02.jpg,"A person over looking the railroad cut, Culebra, Panama","Bruce, J. A., publisher",1910,,,Canal construction; Pueblos Perdidos,Culebra,9.094775954,-79.68179871,Library of Congress,https://lccn.loc.gov/2021639839,,,,,No known restrictions on publication.,image,/objects/prr02.jpg,/objects/small/prr02_sm.jpg,/objects/thumbs/prr02_th.jpg,,
prr03,prr03.jpg,"A person overlooking a railroad cut near Empire, Panama","Bruce, J. A., publisher",1910,,,Canal construction; Pueblos Perdidos,Empire,9.088,-79.722,Library of Congress,https://lccn.loc.gov/2021639825,,,,,No known restrictions on publication.,image,/objects/prr03.jpg,/objects/small/prr03_sm.jpg,/objects/thumbs/prr03_th.jpg,,
prr04,,Doctor William Gorgas riding the Panama Railroad,Apollo Pictures,unknown,between 1904 and 1913,"Film has ca. 2 ft. of views of Dr. William Crawford Gorgas, chief sanitation officer of the Panama Canal (1904-1913) and member of the Isthmian Canal Commission, standing in front of a building; location of this sequence is undetermined. Remainder of film shows Dr. Gorgas and an unidentified man riding on a Panama Canal Company train. The two men are silhouetted against passing scenery of the Canal Zone as Dr. Gorgas shows the other man points of interest. The train passes a body of water which is probably a part of the canal, countryside, buildings probably on Front Street, Colon, including a YMCA club; final scene of people walking across tracks after the train passes.",Historical figures; Canal construction; Train trip,Colon,9.3572,-79.8992,Library of Congress,https://lccn.loc.gov/mp76000276,,,,,"The Library of Congress is not aware of any U.S. copyright or other restrictions in the vast majority of motion pictures in these collections. Absent any such restrictions, these materials are free to use and reuse.",video,https://youtu.be/WsxzJGlPhZk?si=QFYePAvCymkmPuvH,,,,
prr05,prr05.pdf,Book: Illustrated history of the Panama railroad,"F. N. Otis, M.D",1862,,,Text,,,,Harvard University,https://catalog.hathitrust.org/Record/011539135,,,,,Public Domain,pdf,/objects/prr05.pdf,/objects/small/prr05_sm.jpg,/objects/thumbs/prr05_th.jpg,,
prr06,prr06.jpg,Map: Lands belonging to the Panama Railroad Company,"Harrison, Thomas",1857,,,Map,,,,Library of Congress,https://lccn.loc.gov/83694758,,,,,The content of the Library of Congress Geography and Map Division digitized collections is free to use and reuse,image,/objects/prr06.jpg,/objects/small/prr06_sm.jpg,/objects/thumbs/prr06_th.jpg,,
prr07,prr07.jpg,"Loading mules with beef and ice, Culebra Station","Keystone View Company, publisher",1906,,,Station; ; Pueblos Perdidos,Culebra,9.094775954,-79.68179871,Library of Congress,https://lccn.loc.gov/2021639880,,,,,No known restrictions on publication.,image,/objects/prr07.jpg,/objects/small/prr07_sm.jpg,/objects/thumbs/prr07_th.jpg,,
prr08,prr08.jpg,P.R.R. Station. Colon,"Chester, C.L. (Creator)
Wilde, Bradley (Donor)",1908,,,Station,Colon,9.35829,-79.90516,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00107152/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,/objects/prr08.jpg,/objects/small/prr08_sm.jpg,/objects/thumbs/prr08_th.jpg,,
prr09,prr09.png,The Culebra or Summit Station,"The Illustrated London News, 31 Mar. 1855 p.292.",1855,,,Station,Summit,9.06589,-79.64676,Library of Congress,https://lccn.loc.gov/2002697819,,,,,"No known restrictions on publication.
",image,/objects/prr09.png,/objects/small/prr09_sm.jpg,/objects/thumbs/prr09_th.jpg,,
prr10,prr10.jpg,Panama Railroad Office Building Near the Docks,"Upson, Uriah LeRoi (Creator)
Hasman, Melvia (Donor)",1910,,,Station,unknown,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/fr/AA00128494/00001/images,,,,,Staff reasonably believe that the item is not restricted by copyright or related rights and that the item is in the Public Domain worldwide.,image,/objects/prr10.jpg,/objects/small/prr10_sm.jpg,/objects/thumbs/prr10_th.jpg,,
prr11,prr11.jpg,Panama Railroad Company Building Completed in 1909 in Colon ,"Upson, Uriah LeRoi (Creator)
Hasman, Melvia (Donor)",1910,,,Station,Colon,9.35829,-79.90516,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00128479/00001/images,,,,,Staff reasonably believe that the item is not restricted by copyright or related rights and that the item is in the Public Domain worldwide.,image,/objects/prr11.jpg,/objects/small/prr11_sm.jpg,/objects/thumbs/prr11_th.jpg,,
prr12,prr12.jpg,A Panama Railroad bridge across the Chagres River ,"Wilde, Bradley (Donor)",1908,,,Bridge; Chagres River; Pueblos Perdidos; Train trip,Gorgona,9.1095,-79.7042,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00118702/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,/objects/prr12.jpg,/objects/small/prr12_sm.jpg,/objects/thumbs/prr12_th.jpg,,
prr13,prr13.jpg,"Camp U.S.M.C. - Mount Hope, Canal Zone","Wilde, Bradley (Donor)",1908,,"Depicts Marines, tents, railroad tracks, etc., possibly at Camp Elliott. U.S. Marine Corps.",,Mount Hope/Monkey Hil,9.3402,-79.8948,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00117195/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,/objects/prr13.jpg,/objects/small/prr13_sm.jpg,/objects/thumbs/prr13_th.jpg,,
prr14,prr14.jpg,Culebra Cut postcard,"Wilde, Bradley (Donor)",1909,,"Depicts several men posing on Labor Car #1077 of the Panama Railroad. Also includes a sign reading ""Blacks Only"" for segregated seating.",Canal Construction; Discrimination,Culebra,9.094775954,-79.68179871,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00123898/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,/objects/prr14.jpg,/objects/small/prr14_sm.jpg,/objects/thumbs/prr14_th.jpg,,
prr15,prr15.jpg,"Gorgona, Canal Zone","Wilde, Bradley (Donor)",Circa 1900-1914,,Depicts railroad tracks and shops at Gorgona.,Pueblos Perdidos; Train trip,Gorgona,9.1095,-79.7042,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00118861/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,/objects/prr15.jpg,/objects/small/prr15_sm.jpg,/objects/thumbs/prr15_th.jpg,,
prr16,prr16.jpg,P.R.R. Engine No. 661 ,"Wilde, Bradley (Donor)",1910,,,Traincar,unknown,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00120213/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,/objects/prr16.jpg,/objects/small/prr16_sm.jpg,/objects/thumbs/prr16_th.jpg,,
prr17,prr17.jpg,"Panama Railroad, Panama",,,,,,,,,,,,,,,,video,/objects/prr17.jpg,/objects/small/prr17_sm.jpg,/objects/thumbs/prr17_th.jpg,,
prr18,prr18.jpg,Spike (Metal) from the Pacific Coast railroad,Panama Railroad Company,1900,,Brought from France by W.E. Boyd in 1919,Ephemera,,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/UF00083289/00001/images,,,,,Not stated,image,/objects/prr18.jpg,/objects/small/prr18_sm.jpg,/objects/thumbs/prr18_th.jpg,,
prr19,prr19.jpg,The main obstruction at Panama ,"Keppler, Udo J., 1872-1956, artist",1905,,"Illus. in: Puck, v. 57, no. 1481 (1905 July 19), centerfold. Caption: Gentleman in the Background Sam, here's an engineering problem for you. If it'll take ten years to cut through Culebra, how many years will it take to cut through me?",Cartoon,,,,Library of Congress,https://lccn.loc.gov/2011645720,,,,,No known restrictions on publication.,image,/objects/prr19.jpg,/objects/small/prr19_sm.jpg,/objects/thumbs/prr19_th.jpg,,
prr20,prr20.jpg,When President Theodore Roosevelt visited Panama Canal,Wide World Photos,1906,,"Photograph showing President Theodore Roosevelt and his wife Edith, both dressed in white, seated on a flag draped railroad tram; others accompany the Roosevelts on their tour of the Panama Canal Zone.
",Train trip; Historical figures,unknown,,,Library of Congress,https://lccn.loc.gov/2013650928,,,,,No known restrictions on publication.,image,/objects/prr20.jpg,/objects/small/prr20_sm.jpg,/objects/thumbs/prr20_th.jpg,,
prr21,,"Panama Railroad Bridge Over the Chagres River at Barbacoas, Near San Pablo Station, Taken During the Dry Season",Panama Canal Company,1906,,,Bridge; Chagres River,Barbacoas,9.1228,-79.7997,National Archives and Records Administration,https://dp.la/item/a47955b4d972ec3f7081118b7fa23de2,,,,,,image,https://upload.wikimedia.org/wikipedia/commons/b/bb/Panama_Railroad_Bridge_Over_the_Chagres_River_at_Barbacoas%2C_Near_San_Pablo_Station%2C_Taken_During_the_Dry_Season%2C_1906_-_DPLA_-_a47955b4d972ec3f7081118b7fa23de2.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Panama_Railroad_Bridge_Over_the_Chagres_River_at_Barbacoas%2C_Near_San_Pablo_Station%2C_Taken_During_the_Dry_Season%2C_1906_-_DPLA_-_a47955b4d972ec3f7081118b7fa23de2.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Panama_Railroad_Bridge_Over_the_Chagres_River_at_Barbacoas%2C_Near_San_Pablo_Station%2C_Taken_During_the_Dry_Season%2C_1906_-_DPLA_-_a47955b4d972ec3f7081118b7fa23de2.jpg,,
prr22,,Panama R.R. Along Canal,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,Photo taken aboard a train of the Panama Railroad.,Train trip,unknown,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00119020/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/20/00001/Document_20190717_0004.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/20/00001/Document_20190717_0004.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/20/00001/Document_20190717_0004.jpg,,
prr23,,Panama City Station (Now Plaza Cinco de Mayo),"Wilde, Bradley (Donor)",unknown,Circa 1900-1951,,Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121469/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/69/00001/Document_20190717_0025.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/69/00001/Document_20190717_0025.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/69/00001/Document_20190717_0025.jpg,,
prr24,,Leaning on Panama City Station (Now Plaza Cinco de Mayo),"Wilde, Bradley (Donor)",1917,,,Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121473/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/73/00001/Document_20190717_0029.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/73/00001/Document_20190717_0029.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/73/00001/Document_20190717_0029.jpg,,
prr25,,Railroad near water with cayuco,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,,Train trip,unknown,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00119030/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/30/00001/Document_20190717_0014.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/30/00001/Document_20190717_0014.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/30/00001/Document_20190717_0014.jpg,,
prr26,,Panama Bound,"Wilde, Bradley (Donor)",unknown,Circa 1900-1951,A train of the Panama Railroad pulled by locomotive #659.,Traincar; Train trip,unknown,,,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00119023/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/23/00001/Document_20190717_0007.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/23/00001/Document_20190717_0007.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/23/00001/Document_20190717_0007.jpg,,
prr27,,"Train at Panama Railroad Station, Panama City","Wilde, Bradley (Donor)",unknown,Circa 1900-1952,Depicts Panama Railroad passenger train with locomotive #657.,"Traincar, Train trip, Station",Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00119892/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/98/92/00001/Document_20190524_0009_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/98/92/00001/Document_20190524_0009_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/98/92/00001/Document_20190524_0009_0001.jpg,,
prr28,,Vintage car and mule cart ,"Wilde, Bradley (Donor)",unknown,Circa 1900-1953,"This vehicle resembles a 1920s Chrysler Six, a model known for being one of the first cars to feature four-wheel hydraulic brakes.",Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121461/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/61/00001/Document_20190717_0017.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/61/00001/Document_20190717_0017.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/61/00001/Document_20190717_0017.jpg,,
prr29,,"Enrout to Panama July 4th 1916, Flooded country, Gatun Lake","Wilde, Bradley (Donor)",1916,,Photo taken aboard a train of the Panama Railroad.,Traincar; Train trip; Pueblos Perdidos,Gatun Lake,9.29271614,-79.915634,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00119034/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/34/00001/Document_20190717_0018.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/34/00001/Document_20190717_0018.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/90/34/00001/Document_20190717_0018.jpg,,
prr30,,Old Panama City station,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"The old station was at Playa Prieta, which is now known as La Playita de las Garzas near the Presidential Palace in Casco Viejo.",Station,Playa Prieta,8.9538,-79.5345,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121486/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/86/00001/Document_20190717_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/86/00001/Document_20190717_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/86/00001/Document_20190717_0001.jpg,,
prr31,,Atlantic Terminal building for the Panama Railroad,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,,Station,Colon,9.35829,-79.90516,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00122208/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/22/08/00001/Document_20190719_0035.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/22/08/00001/Document_20190719_0035.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/22/08/00001/Document_20190719_0035.jpg,,
prr32,,Panama Station with Monumento a los Bomberos ,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"The monument in the center of the square is called the Monumento a los Bomberos (Firefighters Monument), also commonly referred to as the Monumento a la Tragedia de El Polvorín (Memorial to the El Polvorín Tragedy). The monument was inaugurated on May 5, 1916. It was unveiled by the President of Panama, Belisario Porras, exactly two years after the tragic explosion of the ""El Polvorín"" ammunition depot. The creation of this monument is what officially established and gave the name to the public square we know today as Plaza 5 de Mayo.",Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121485/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/85/00001/Document_20190717_0041.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/85/00001/Document_20190717_0041.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/85/00001/Document_20190717_0041.jpg,,
prr33,,Aerial view of Panama Railroad station in Panama City,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,,Station,Panama City,8.9606,-79.54091,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00121462/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/62/00001/Document_20190717_0018.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/62/00001/Document_20190717_0018.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/14/62/00001/Document_20190717_0018.jpg,,
prr34,,Side/Back view of Colon Terminal,"Wilde, Bradley (Donor)",unknown,Circa 1900-1950,,Station,Colon,9.35829,-79.90516,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00122640/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/12/26/40/00001/Document_20190617_0009.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/26/40/00001/Document_20190617_0009.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/12/26/40/00001/Document_20190617_0009.jpg,,
prr35,,"""New"" Gatun Station","McDaniel (Creator)
Wilde, Bradley (Donor)",unknown,Circa 1900-1950,"The Old Gatún Station was inundated and relocated during the creation of Gatun Lake and the Panama Canal. A brand new, permanent Gatún Train Station was completed on January 27, 1909, serving the newly relocated ""New Town"" of Gatún. The station was built on higher ground east of the Gatun Locks, complete with a two-story commissary next to the tracks. Includes several US Navy sailors in the crowd. ",Station; Traincar,Gatun,9.2789,-79.9179,Panama Canal Museum Collection at the University of Florida,https://dloc.com/es/AA00118746/00001/images,,,,,"Staff believe that the item is out of copyright and in the Public Domain under U.S. Copyright Law, but a determination was not made as to its copyright status under the laws of other countries.",image,https://ufdcimages.uflib.ufl.edu/AA/00/11/87/46/00001/Document_20190621_0012_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/87/46/00001/Document_20190621_0012_0001.jpg,https://ufdcimages.uflib.ufl.edu/AA/00/11/87/46/00001/Document_20190621_0012_0001.jpg,,
